A=365, h=13+14, 
A=365, h=14+13, 
A=365, h=19+2, 
A=369, h=12+15, 
A=369, h=15+12, 
A=370, h=3+19, 
A=370, h=9+17, 
A=370, h=17+9, 
A=370, h=19+3, 
A=373, h=7+18, 
A=373, h=18+7, 
A=377, h=4+19, 
A=377, h=11+16, 
A=377, h=16+11, 
A=377, h=19+4, 
A=386, h=5+19, 
A=386, h=19+5, 
A=388, h=8+18, 
A=388, h=18+8, 
A=389, h=10+17, 
A=389, h=17+10, 
A=392, h=14+14, 
A=394, h=13+15, 
A=394, h=15+13, 
A=397, h=6+19, 
A=397, h=19+6, 
A=400, h=12+16, 
A=400, h=16+12, 
A=401, h=1+20, 
A=401, h=20+1, 
A=404, h=2+20, 
A=404, h=20+2, 
A=405, h=9+18, 
A=405, h=18+9, 
A=409, h=3+20, 
A=409, h=20+3, 
A=410, h=7+19, 
A=410, h=11+17, 
A=410, h=17+11, 
A=410, h=19+7, 
A=416, h=4+20, 
A=416, h=20+4, 
A=421, h=14+15, 
A=421, h=15+14, 
A=424, h=10+18, 
A=424, h=18+10, 
A=425, h=5+20, 
A=425, h=8+19, 
A=425, h=13+16, 
A=425, h=16+13, 
A=425, h=19+8, 
A=425, h=20+5, 
A=433, h=12+17, 
A=433, h=17+12, 
A=436, h=6+20, 
A=436, h=20+6, 
A=442, h=1+21, 
A=442, h=9+19, 
A=442, h=19+9, 
A=442, h=21+1, 
A=445, h=2+21, 
A=445, h=11+18, 
A=445, h=18+11, 
A=445, h=21+2, 
A=449, h=7+20, 
A=449, h=20+7, 
A=450, h=3+21, 
A=450, h=15+15, 
A=450, h=21+3, 
A=452, h=14+16, 
A=452, h=16+14, 
A=457, h=4+21, 
A=457, h=21+4, 
A=458, h=13+17, 
A=458, h=17+13, 
A=461, h=10+19, 
A=461, h=19+10, 
A=464, h=8+20, 
A=464, h=20+8, 
A=466, h=5+21, 
A=466, h=21+5, 
A=468, h=12+18, 
A=468, h=18+12, 
A=477, h=6+21, 
A=477, h=21+6, 
A=481, h=9+20, 
A=481, h=15+16, 
A=481, h=16+15, 
A=481, h=20+9, 
A=482, h=11+19, 
A=482, h=19+11, 
A=485, h=1+22, 
A=485, h=14+17, 
A=485, h=17+14, 
A=485, h=22+1, 
A=488, h=2+22, 
A=488, h=22+2, 
A=490, h=7+21, 
A=490, h=21+7, 
A=493, h=3+22, 
A=493, h=13+18, 
A=493, h=18+13, 
A=493, h=22+3, 
A=500, h=4+22, 
A=500, h=10+20, 
A=500, h=20+10, 
A=500, h=22+4, 
A=505, h=8+21, 
A=505, h=12+19, 
A=505, h=19+12, 
A=505, h=21+8, 
A=509, h=5+22, 
A=509, h=22+5, 
A=512, h=16+16, 
A=514, h=15+17, 
A=514, h=17+15, 
A=520, h=6+22, 
A=520, h=14+18, 
A=520, h=18+14, 
A=520, h=22+6, 
A=521, h=11+20, 
A=521, h=20+11, 
A=522, h=9+21, 
A=522, h=21+9, 
A=530, h=1+23, 
A=530, h=13+19, 
A=530, h=19+13, 
A=530, h=23+1, 
A=533, h=2+23, 
A=533, h=7+22, 
A=533, h=22+7, 
A=533, h=23+2, 
A=538, h=3+23, 
A=538, h=23+3, 
A=541, h=10+21, 
A=541, h=21+10, 
A=544, h=12+20, 
A=544, h=20+12, 
A=545, h=4+23, 
A=545, h=16+17, 
A=545, h=17+16, 
A=545, h=23+4, 
A=548, h=8+22, 
A=548, h=22+8, 
A=549, h=15+18, 
A=549, h=18+15, 
A=554, h=5+23, 
A=554, h=23+5, 
A=557, h=14+19, 
A=557, h=19+14, 
A=562, h=11+21, 
A=562, h=21+11, 
A=565, h=6+23, 
A=565, h=9+22, 
A=565, h=22+9, 
A=565, h=23+6, 
A=569, h=13+20, 
A=569, h=20+13, 
A=577, h=1+24, 
A=577, h=24+1, 
A=578, h=7+23, 
A=578, h=17+17, 
A=578, h=23+7, 
A=580, h=2+24, 
A=580, h=16+18, 
A=580, h=18+16, 
A=580, h=24+2, 
A=584, h=10+22, 
A=584, h=22+10, 
A=585, h=3+24, 
A=585, h=12+21, 
A=585, h=21+12, 
A=585, h=24+3, 
A=586, h=15+19, 
A=586, h=19+15, 
A=592, h=4+24, 
A=592, h=24+4, 
A=593, h=8+23, 
A=593, h=23+8, 
A=596, h=14+20, 
A=596, h=20+14, 
A=601, h=5+24, 
A=601, h=24+5, 
A=605, h=11+22, 
A=605, h=22+11, 
A=610, h=9+23, 
A=610, h=13+21, 
A=610, h=21+13, 
A=610, h=23+9, 
A=612, h=6+24, 
A=612, h=24+6, 
A=613, h=17+18, 
A=613, h=18+17, 
A=617, h=16+19, 
A=617, h=19+16, 
A=625, h=7+24, 
A=625, h=15+20, 
A=625, h=20+15, 
A=625, h=24+7, 
A=626, h=1+25, 
A=626, h=25+1, 
A=628, h=12+22, 
A=628, h=22+12, 
A=629, h=2+25, 
A=629, h=10+23, 
A=629, h=23+10, 
A=629, h=25+2, 
A=634, h=3+25, 
A=634, h=25+3, 
A=637, h=14+21, 
A=637, h=21+14, 
A=640, h=8+24, 
A=640, h=24+8, 
A=641, h=4+25, 
A=641, h=25+4, 
A=648, h=18+18, 
A=650, h=5+25, 
A=650, h=11+23, 
A=650, h=17+19, 
A=650, h=19+17, 
A=650, h=23+11, 
A=650, h=25+5, 
A=653, h=13+22, 
A=653, h=22+13, 
A=656, h=16+20, 
A=656, h=20+16, 
A=657, h=9+24, 
A=657, h=24+9, 
A=661, h=6+25, 
A=661, h=25+6, 
A=666, h=15+21, 
A=666, h=21+15, 
A=673, h=12+23, 
A=673, h=23+12, 
A=674, h=7+25, 
A=674, h=25+7, 
A=676, h=10+24, 
A=676, h=24+10, 
A=677, h=1+26, 
A=677, h=26+1, 
A=680, h=2+26, 
A=680, h=14+22, 
A=680, h=22+14, 
A=680, h=26+2, 
A=685, h=3+26, 
A=685, h=18+19, 
A=685, h=19+18, 
A=685, h=26+3, 
A=689, h=8+25, 
A=689, h=17+20, 
A=689, h=20+17, 
A=689, h=25+8, 
A=692, h=4+26, 
A=692, h=26+4, 
A=697, h=11+24, 
A=697, h=16+21, 
A=697, h=21+16, 
A=697, h=24+11, 
A=698, h=13+23, 
A=698, h=23+13, 
A=701, h=5+26, 
A=701, h=26+5, 
A=706, h=9+25, 
A=706, h=25+9, 
A=709, h=15+22, 
A=709, h=22+15, 
A=712, h=6+26, 
A=712, h=26+6, 
A=720, h=12+24, 
A=720, h=24+12, 
A=722, h=19+19, 
A=724, h=18+20, 
A=724, h=20+18, 
A=725, h=7+26, 
A=725, h=10+25, 
A=725, h=14+23, 
A=725, h=23+14, 
A=725, h=25+10, 
A=725, h=26+7, 
A=730, h=1+27, 
A=730, h=17+21, 
A=730, h=21+17, 
A=730, h=27+1, 
A=733, h=2+27, 
A=733, h=27+2, 
A=738, h=3+27, 
A=738, h=27+3, 
A=740, h=8+26, 
A=740, h=16+22, 
A=740, h=22+16, 
A=740, h=26+8, 
A=745, h=4+27, 
A=745, h=13+24, 
A=745, h=24+13, 
A=745, h=27+4, 
A=746, h=11+25, 
A=746, h=25+11, 
A=754, h=5+27, 
A=754, h=15+23, 
A=754, h=23+15, 
A=754, h=27+5, 
A=757, h=9+26, 
A=757, h=26+9, 
A=761, h=19+20, 
A=761, h=20+19, 
A=765, h=6+27, 
A=765, h=18+21, 
A=765, h=21+18, 
A=765, h=27+6, 
A=769, h=12+25, 
A=769, h=25+12, 
A=772, h=14+24, 
A=772, h=24+14, 
A=773, h=17+22, 
A=773, h=22+17, 
A=776, h=10+26, 
A=776, h=26+10, 
A=778, h=7+27, 
A=778, h=27+7, 
A=785, h=16+23, 
A=785, h=23+16, 
A=793, h=8+27, 
A=793, h=27+8, 
A=794, h=13+25, 
A=794, h=25+13, 
A=797, h=11+26, 
A=797, h=26+11, 
A=800, h=20+20, 
A=801, h=15+24, 
A=801, h=24+15, 
A=802, h=19+21, 
A=802, h=21+19, 
A=808, h=18+22, 
A=808, h=22+18, 
A=810, h=9+27, 
A=810, h=27+9, 
A=818, h=17+23, 
A=818, h=23+17, 
A=820, h=12+26, 
A=820, h=26+12, 
A=821, h=14+25, 
A=821, h=25+14, 
A=829, h=10+27, 
A=829, h=27+10, 
A=832, h=16+24, 
A=832, h=24+16, 
A=841, h=20+21, 
A=841, h=21+20, 
A=845, h=13+26, 
A=845, h=19+22, 
A=845, h=22+19, 
A=845, h=26+13, 
A=850, h=11+27, 
A=850, h=15+25, 
A=850, h=25+15, 
A=850, h=27+11, 
A=853, h=18+23, 
A=853, h=23+18, 
A=865, h=17+24, 
A=865, h=24+17, 
A=872, h=14+26, 
A=872, h=26+14, 
A=873, h=12+27, 
A=873, h=27+12, 
A=881, h=16+25, 
A=881, h=25+16, 
A=882, h=21+21, 
A=884, h=20+22, 
A=884, h=22+20, 
A=890, h=19+23, 
A=890, h=23+19, 
A=898, h=13+27, 
A=898, h=27+13, 
A=900, h=18+24, 
A=900, h=24+18, 
A=901, h=15+26, 
A=901, h=26+15, 
A=914, h=17+25, 
A=914, h=25+17, 
A=925, h=14+27, 
A=925, h=21+22, 
A=925, h=22+21, 
A=925, h=27+14, 
A=929, h=20+23, 
A=929, h=23+20, 
A=932, h=16+26, 
A=932, h=26+16, 
A=937, h=19+24, 
A=937, h=24+19, 
A=949, h=18+25, 
A=949, h=25+18, 
A=954, h=15+27, 
A=954, h=27+15, 
A=965, h=17+26, 
A=965, h=26+17, 
A=968, h=22+22, 
A=970, h=21+23, 
A=970, h=23+21, 
A=976, h=20+24, 
A=976, h=24+20, 
A=985, h=16+27, 
A=985, h=27+16, 
A=986, h=19+25, 
A=986, h=25+19, 
A=1000, h=18+26, 
A=1000, h=26+18, 
A=1013, h=22+23, 
A=1013, h=23+22, 
A=1017, h=21+24, 
A=1017, h=24+21, 
A=1018, h=17+27, 
A=1018, h=27+17, 
A=1025, h=20+25, 
A=1025, h=25+20, 
A=1037, h=19+26, 
A=1037, h=26+19, 
A=1053, h=18+27, 
A=1053, h=27+18, 
A=1058, h=23+23, 
A=1060, h=22+24, 
A=1060, h=24+22, 
A=1066, h=21+25, 
A=1066, h=25+21, 
A=1076, h=20+26, 
A=1076, h=26+20, 
A=1090, h=19+27, 
A=1090, h=27+19, 
A=1105, h=23+24, 
A=1105, h=24+23, 
A=1109, h=22+25, 
A=1109, h=25+22, 
A=1117, h=21+26, 
A=1117, h=26+21, 
A=1129, h=20+27, 
A=1129, h=27+20, 
A=1152, h=24+24, 
A=1154, h=23+25, 
A=1154, h=25+23, 
A=1160, h=22+26, 
A=1160, h=26+22, 
A=1170, h=21+27, 
A=1170, h=27+21, 
A=1201, h=24+25, 
A=1201, h=25+24, 
A=1205, h=23+26, 
A=1205, h=26+23, 
A=1213, h=22+27, 
A=1213, h=27+22, 
A=1250, h=25+25, 
A=1252, h=24+26, 
A=1252, h=26+24, 
A=1258, h=23+27, 
A=1258, h=27+23, 
A=1301, h=25+26, 
A=1301, h=26+25, 
A=1305, h=24+27, 
A=1305, h=27+24, 
A=1352, h=26+26, 
A=1354, h=25+27, 
A=1354, h=27+25, 
A=1405, h=26+27, 
A=1405, h=27+26, 
A=1458, h=27+27, 
